0
kasper welbers
cameron lai
frank schweitzer
priscila alvarez-cueva
marius sältzer
jonathan st-onge
carina ines hausladen
shohei hisamitsu
alexander volfovsky
clemens stachl
antonio desiderio
sahil loomba
jon roozenbeek
becky p.y. loo
piotr bródka
anne cathrine linder
michael matzenberger
pietro coletti
beverly laher
roland toth
jonas l juul
francesco rinaldi
sander van der linden
denis bonnay
ourania kolokotroni
sukrit venkatagiri
nakao ran
heidi schulze
hannah metzler
federico barrera-lemarchand
brenda curtis
ophelia deroy
xiaoran yan
etienne ollion
michele tizzani
alejandro beltran
neville stanton
alina sîrbu
fengyuan michael liu
anna bertani
marco de nadai
david joyner
christoph bartenhagen
dan jurafsky
josep perelló
bennard doornbos
angelita repetto
christian czymara
nicola fanton
inho hong
andrea failla
satyaki sikdar
marie urban
ocã©ane boulais
sarvenaz ebrahimi
frank berthold
ting lian
manlio de domenico
luca rossi
giada marino
yuri nakayama
katharina burgdorf
filippo menczer
narayani vedam
nils christopher köbis
daniele gambetta
sumer vaid
dustin wright
rishabh kaushal
lucila alvarez-zuzek
ana macanovic
andres f. castro torres
daniel valdenegro
zhuangyuan fan
christopher bail
saumya tripathi
guilherme lichand
leonardo ferres
amir goldberg
mitsuo yoshida
emilio ferrara
bahareh sarrafzadeh
alice battiston
maddalena conte
arttu malkamäki
mathias wullum nielsen
andrea tagarelli
eric dignum
robert west
simone centellegher
chris callison-burch
haewoon kwak
clara bersch
kat albrecht
sydney demets
hocine cherifi
abby smith
judith moeller
huma rasheed
shatayu kulkarni
sam wolken
haaya naushan
andrea mina
martin koenen
nir grinberg
neave o'clery
edward lee
amy selby
camille landesvatter
george fletcher
zhixuan zhou
nabeel gillani
fabrizio gilardi
han zheng
alessandro flammini
jinjun xiong
kellner aniko
isabella loaiza
lyle ungar
michele coscia
guangnan zhu
julian berger
bao tran truong
rudolf hanel
abdullah almaatouq
victor navarro
anne kroon
rémi perrier
ming-hung wang
manuel vimercati
serine ramlawi
aguru ishibashi
anne c. kroon
christoph stadtfeld
gordon pennycook
layla bouzoubaa
pietro alessandro aluffi
yuta tomokiyo
alessandro flamini
ashlyn b. aske
denny borsboom
sebastiano bontorin
jose javier ramasco
pedro ramaciotti morales
giyeon baek
andreas kaltenbrunner
yan asadchy
cassandra overney
riccardo di clemente
aditi dutta
fionneke m bos
hang jiang
erjian liu
shadi rezapour
qiusi sun
jason hiigh thompson
michał olech
szymon talaga
yuwen yu
yaniv altshuler
rémi suchonn
giulio rossetti
michael szell
yilang peng
disha saini
akira tsurushima
cristian e candia
shunichi kasahara
philip howard
sandro lera
yujin kim
vincent pons
